0,1
"('ecoinvent-3.4-biosphere', 'ae941326-4981-44fa-8be1-8757aab10d00')",Zirconium-95
"('ecoinvent-3.4-biosphere', '4379a45a-092e-4c8f-8124-6841e920b807')",Chromium-51
"('ecoinvent-3.4-biosphere', '1eb118df-d768-4084-b843-a1a04628e837')",Zinc-65
"('ecoinvent-3.4-biosphere', '78fd90f7-351f-4de0-a743-a0c69f53bba3')",Uranium-235
"('ecoinvent-3.4-biosphere', '1784e16f-e070-4e2e-b567-182f8f6b9cbd')",Promethium-147
"('ecoinvent-3.4-biosphere', '2f36d881-55bd-44ed-a383-a97cd4c53b16')",Tellurium-123m
"('ecoinvent-3.4-biosphere', '19084123-7b31-4054-9afe-adc0dd20192f')",Neptunium-237
"('ecoinvent-3.4-biosphere', '1eaa9ea4-40b8-414a-b198-5626400372e1')","Occupation, dump site"
"('ecoinvent-3.4-biosphere', '88a02d30-d9fe-4dc1-b1e5-e95745df0956')",Zirconium-95
"('ecoinvent-3.4-biosphere', '5967eadd-dc30-43a2-b195-edcc48350447')",Cobalt-57
"('ecoinvent-3.4-biosphere', 'b6349d15-124b-473b-86b5-da63e0060c1a')",Xenon-131m
"('ecoinvent-3.4-biosphere', 'a39f2c87-b661-4f04-827d-2326c51fcf10')",Lanthanum-140
"('ecoinvent-3.4-biosphere', '6204e5df-ef93-40e4-9c83-0c4ed4f3870d')","Radioactive species, other beta emitters"
"('ecoinvent-3.4-biosphere', '332a3e5f-39c6-4336-9064-13276942fbba')",Iodine-133
"('ecoinvent-3.4-biosphere', '7a35cc5e-9093-4ef6-bf78-37221ebcb1bb')",Potassium-40
"('ecoinvent-3.4-biosphere', '26328cc0-eaef-49b4-9c42-2396313bbb5e')",Curium alpha
"('ecoinvent-3.4-biosphere', 'd4bb55d3-8165-466b-b502-d4b25fae104b')",Radium-228
"('ecoinvent-3.4-biosphere', '59c2b461-3992-4b18-8f27-699f4880cc4e')",Plutonium-238
"('ecoinvent-3.4-biosphere', '6006f0fd-a887-4969-8604-85f31be0b420')",Argon-41
"('ecoinvent-3.4-biosphere', '232b8aaa-06a6-4940-b725-46470bc82864')",Antimony-124
"('ecoinvent-3.4-biosphere', '14e8ce09-acbd-4b33-abb8-e09416363971')","Radioactive species, alpha emitters"
"('ecoinvent-3.4-biosphere', 'd604b3dc-65ad-43a0-a6ef-2885719d65b6')","Radioactive species, Nuclides, unspecified"
"('ecoinvent-3.4-biosphere', '14ee3991-b63b-47bc-989f-0f4db81f7c72')",Plutonium-alpha
"('ecoinvent-3.4-biosphere', 'b91d0527-9a01-4a86-b420-c62b70629ba4')","Occupation, forest, unspecified"
"('ecoinvent-3.4-biosphere', '3afbc2d8-1b51-4d43-87a7-e68291c1e999')","Occupation, permanent crop, irrigated, intensive"
"('ecoinvent-3.4-biosphere', '97f81042-ff3a-43b2-902d-67bc35765465')",Protactinium-234
"('ecoinvent-3.4-biosphere', 'b905c2e0-a0db-4e66-80d2-8bdfc93c6218')","Transformation, from grassland, natural (non-use)"
"('ecoinvent-3.4-biosphere', '5ccb5873-69d5-41fb-b527-282fb91c04a7')",Thorium-230
"('ecoinvent-3.4-biosphere', '2cb441cd-8d2e-4e5c-a208-48c4fa005c41')","Transformation, to permanent crop, non-irrigated, extensive"
"('ecoinvent-3.4-biosphere', '9126f418-0dec-4f1d-ac58-573cfa544ed0')",Barium-140
"('ecoinvent-3.4-biosphere', 'bf112355-f868-42b8-8f39-6f2901cc38b9')",Uranium-234
"('ecoinvent-3.4-biosphere', '49c23685-ef19-495b-9a6b-4a91a7ceb710')","Transformation, to annual crop, greenhouse"
"('ecoinvent-3.4-biosphere', '28b4d99e-6111-4ef9-8c34-10f94fff9309')",Uranium-234
"('ecoinvent-3.4-biosphere', 'bba9f623-5919-4ef3-b98d-c94af1553179')","Transformation, to forest, unspecified"
"('ecoinvent-3.4-biosphere', 'fce7f1a7-7b02-4e95-9cee-d95275fbb916')",Curium-242
"('ecoinvent-3.4-biosphere', 'e71f95a5-fd82-4128-9fd1-be3f0e85d0fc')","Transformation, from forest, extensive"
"('ecoinvent-3.4-biosphere', 'e780232c-898f-4606-8d21-f8589801ebe6')","Occupation, grassland, natural, for livestock grazing"
"('ecoinvent-3.4-biosphere', 'cec0687d-7d44-4e80-ae2f-428c2664d66d')","Aerosols, radioactive, unspecified"
"('ecoinvent-3.4-biosphere', '3cb1b212-68e7-4945-8a78-dfed2fa37fd2')",Strontium-90
"('ecoinvent-3.4-biosphere', 'ca828b6a-5c31-4cce-941e-cc7c1900e6fe')","Radioactive species, other beta emitters"
"('ecoinvent-3.4-biosphere', 'f05cca02-ec18-4acc-9939-59658ff9a554')","Transformation, from annual crop"
"('ecoinvent-3.4-biosphere', 'f25e1900-11a4-4a01-b01b-f8f69d2d321e')",Cerium-141
"('ecoinvent-3.4-biosphere', '247ddc2a-c861-43be-97f0-0183e3d12f99')","Transformation, to annual crop, irrigated"
"('ecoinvent-3.4-biosphere', 'b2466957-a3f8-4b31-8b95-3f5e6f99b594')",Antimony-125
"('ecoinvent-3.4-biosphere', '6fccbcea-27bd-4368-8db2-7ce5aa3b0c80')",Cesium-137
"('ecoinvent-3.4-biosphere', 'f669a957-5574-4932-98cb-2851a12b3137')","Transformation, to urban, green area"
"('ecoinvent-3.4-biosphere', '141ec03e-9ec3-4cfe-853d-37cc66e1c333')",Lead-210
"('ecoinvent-3.4-biosphere', 'e6183e67-e45e-4d8d-a9ec-85ba8d7d1600')",Xenon-131m
"('ecoinvent-3.4-biosphere', '12544a15-e0ef-48cb-a0e1-ee9cc0ec7592')",Ruthenium-103
"('ecoinvent-3.4-biosphere', '9d9246d4-0ce3-4b47-8491-cf62e562ad38')",Cesium-134
"('ecoinvent-3.4-biosphere', '2a8ec77d-55f2-402a-bc5a-2e9162de2822')",Silver-110
"('ecoinvent-3.4-biosphere', '48725db0-ff99-4074-90a0-bb22165432bb')",Polonium-210
"('ecoinvent-3.4-biosphere', 'b7802a4d-3a51-4449-9e1f-39fc663cc646')",Chromium-51
"('ecoinvent-3.4-biosphere', '073e0dba-bc0b-4c76-89e2-2988f2b49459')","Actinides, radioactive, unspecified"
"('ecoinvent-3.4-biosphere', 'bc13f992-b93e-4ef3-921a-2898e7674a7c')","Radioactive species, other beta emitters"
"('ecoinvent-3.4-biosphere', '9a9d71c7-79f7-42d0-af47-282d22a7cf07')","Volume occupied, reservoir"
"('ecoinvent-3.4-biosphere', '6fb4d755-f17a-4d1e-a5ce-aad7829ef61f')",Zinc-65
"('ecoinvent-3.4-biosphere', 'd1954c78-79d4-494e-9a96-39e8c2215fc9')",Protactinium-234
"('ecoinvent-3.4-biosphere', '0782d8ff-80e5-47a7-a2ba-3ba40ab60b60')","Transformation, from wetland, inland (non-use)"
"('ecoinvent-3.4-biosphere', 'ba94eeb5-4b68-4848-a86e-71a9f3b70a4c')","Transformation, from urban, discontinuously built"
"('ecoinvent-3.4-biosphere', 'a4669a72-41dc-4874-9983-55e381c81e67')",Tellurium-123m
"('ecoinvent-3.4-biosphere', '6fae9979-43ec-4675-8714-671731b4e283')",Carbon-14
"('ecoinvent-3.4-biosphere', '54ec40c4-c612-43f2-b6bb-222f93fe0771')",Cerium-141
"('ecoinvent-3.4-biosphere', '1a1d0d4b-6b95-4815-ad06-2ec5fe333c43')","Transformation, from unspecified, natural (non-use)"
"('ecoinvent-3.4-biosphere', '2e969e9b-f2e9-4fcc-8962-13a755dc8302')",Cobalt-58
"('ecoinvent-3.4-biosphere', 'c3c3d385-57fa-4d47-a2c5-d838006e7985')","Transformation, to annual crop, irrigated, intensive"
"('ecoinvent-3.4-biosphere', '4aed2261-0461-4014-be23-cf83de76a3b4')",Zinc-65
"('ecoinvent-3.4-biosphere', '799f84ba-279d-422e-9b81-ff6f8e6214ed')",Antimony-122
"('ecoinvent-3.4-biosphere', '8cebaf1d-94b3-4770-9b76-5b35ee06ed9a')",Xenon-133
"('ecoinvent-3.4-biosphere', 'caae5c9b-66bf-4e1a-aa73-f84d11a41753')",Thorium-228
"('ecoinvent-3.4-biosphere', '0a4d49cc-8a90-4ca2-8417-468951ae232b')",Chromium-51
"('ecoinvent-3.4-biosphere', '285188e4-9b50-4916-a2bd-e7ce44354a88')","Aerosols, radioactive, unspecified"
"('ecoinvent-3.4-biosphere', '7828852d-7a75-45ce-9e3b-4c443e3a1a63')",Cerium-144
"('ecoinvent-3.4-biosphere', '4d166779-88fd-441b-9537-f3b974e3bff7')","Transformation, from arable land, unspecified use"
"('ecoinvent-3.4-biosphere', '64d99cb5-3b4f-4195-b86f-c5f45b4dcd19')","Transformation, from mineral extraction site"
"('ecoinvent-3.4-biosphere', 'b912f4b4-34ac-4ec1-aba1-01b9c83683e5')",Radium-226
