0,1,2,3,4,5
"('ecoinvent-3.4-biosphere', '27b0b1f4-8cd4-4277-bfdd-1cab2f9c5e1c')",Fenbuconazole,Fenbuconazole,C19H17ClN4,336.8,
"('ecoinvent-3.4-biosphere', '27b0b1f4-8cd4-4277-bfdd-1cab2f9c5e1c')",Fenbuconazole,Fenbuconazole,C19H17ClN4,336.8,
"('ecoinvent-3.4-biosphere', 'f2127292-61a1-43a3-bae2-fab282d5e941')",Chloroacetic acid,Chloroacetic acid,C2H3ClO2,94.5,
"('ecoinvent-3.4-biosphere', 'f2127292-61a1-43a3-bae2-fab282d5e941')",Chloroacetic acid,Chloroacetic acid,C2H3ClO2,94.5,
"('ecoinvent-3.4-biosphere', 'f2127292-61a1-43a3-bae2-fab282d5e941')",Chloroacetic acid,Chloroacetic acid,C2H3ClO2,94.5,
"('ecoinvent-3.4-biosphere', '6c833956-6302-47c3-8abc-7ecae92266fb')","Methane, tetrachloro-, R-10",tetrachloroMethane,CCl4,153.8,
"('ecoinvent-3.4-biosphere', '6c833956-6302-47c3-8abc-7ecae92266fb')","Methane, tetrachloro-, R-10",tetrachloroMethane,CCl4,153.8,
"('ecoinvent-3.4-biosphere', '6c833956-6302-47c3-8abc-7ecae92266fb')","Methane, tetrachloro-, R-10",tetrachloroMethane,CCl4,153.8,
"('ecoinvent-3.4-biosphere', '6a9c52f3-a397-43be-b1c8-b6c4a4a5df4c')",Methyl acetate,Methyl acetate,C3H6O2,74.08,
"('ecoinvent-3.4-biosphere', '6a9c52f3-a397-43be-b1c8-b6c4a4a5df4c')",Methyl acetate,Methyl acetate,C3H6O2,74.08,
"('ecoinvent-3.4-biosphere', '6a9c52f3-a397-43be-b1c8-b6c4a4a5df4c')",Methyl acetate,Methyl acetate,C3H6O2,74.08,
"('ecoinvent-3.4-biosphere', '238f8ea9-98df-41dc-ab93-ea5b549a0b96')","Gravel, in ground",Gravel,C15H21NO,231.33,
"('ecoinvent-3.4-biosphere', '238f8ea9-98df-41dc-ab93-ea5b549a0b96')","Gravel, in ground",Gravel,C15H21NO,231.33,
"('ecoinvent-3.4-biosphere', '238f8ea9-98df-41dc-ab93-ea5b549a0b96')","Gravel, in ground",Gravel,C15H21NO,231.33,
"('ecoinvent-3.4-biosphere', 'bc153c00-6c93-412f-aadc-750f2fc6f9c7')","Silver, 0.01% in crude ore, in ground",Silver,Ag,107.868,-1.5701960660375504e-13
"('ecoinvent-3.4-biosphere', 'bc153c00-6c93-412f-aadc-750f2fc6f9c7')","Silver, 0.01% in crude ore, in ground",Silver,Ag,107.868,-1.5701960660375504e-13
"('ecoinvent-3.4-biosphere', 'bc153c00-6c93-412f-aadc-750f2fc6f9c7')","Silver, 0.01% in crude ore, in ground",Silver,Ag,107.868,-1.5701960660375504e-13
"('ecoinvent-3.4-biosphere', '2257e9f9-f38c-494b-b99f-f49b4768b4b9')",Phosphoric acid,Phosphoric acid,H3O4P,97.995,-0.0
